season,season_start_year,season_end_year,graded_weekend_count,a_count,b_count,c_count,a_or_b_count,a_or_b_or_c_count,d_count,r_count,total_points,chart_declared_total_points,chart_declared_a_count,chart_declared_a_or_b_count,chart_declared_a_or_b_or_c_count,powder_day_percent,powder_adjusted_total,summary_matches_chart_footer
2024-25,2024,2025,26,9,3,7,12,19,7,0,40,40,9,12,19,18.0,49,True
2023-24,2023,2024,30,4,7,8,11,19,11,0,34,34,4,11,19,12.0,38,True
2022-23,2022,2023,28,5,5,6,10,16,12,0,31,31,5,10,15,13.0,36,False
2021-22,2021,2022,30,5,2,7,7,14,16,0,26,26,5,7,14,10.0,29,True
2020-21,2020,2021,27,5,5,3,10,13,14,0,28,28,5,10,13,10.0,32,True
2019-20,2019,2020,30,5,4,8,9,17,12,1,31,31,5,9,17,12.0,35,True
2018-19,2018,2019,31,8,8,6,16,22,7,2,46,46,8,16,22,14.0,54,True
2017-18,2017,2018,29,7,7,5,14,19,10,0,40,40,7,14,19,13.0,46,True
2016-17,2016,2017,32,7,6,6,13,19,13,0,39,38,7,13,18,16.0,46,False
2015-16,2015,2016,28,0,7,6,7,13,15,0,20,20,0,7,13,6.0,21,True
2014-15,2014,2015,29,11,6,4,17,21,8,0,49,49,11,17,21,11.0,56,True
2013-14,2013,2014,29,7,8,4,15,19,10,0,41,41,7,15,19,11.0,47,True
2012-13,2012,2013,29,7,8,4,15,19,10,0,41,41,7,15,19,12.0,47,True
2011-12,2011,2012,25,5,4,2,9,11,14,0,25,25,5,9,11,10.0,28,True
2010-11,2010,2011,29,10,6,4,16,20,9,0,46,46,10,16,20,16.0,56,True
2009-10,2009,2010,28,4,9,4,13,17,11,0,34,34,4,13,17,10.0,38,True
2008-09,2008,2009,27,6,5,11,11,22,5,0,39,39,6,11,22,14.0,45,True
2007-08,2007,2008,26,9,9,6,18,24,2,0,51,51,9,18,24,17.0,62,True
2006-07,2006,2007,25,7,7,2,14,16,9,0,37,37,7,14,16,14.0,44,True
2005-06,2005,2006,25,4,5,11,9,20,5,0,33,33,4,9,20,14.0,37,True
2004-05,2004,2005,27,5,5,8,10,18,9,0,33,33,5,10,18,13.0,37,True
2003-04,2003,2004,27,4,7,8,11,19,7,1,34,34,4,11,19,14.0,39,True
2002-03,2002,2003,31,7,10,7,17,24,7,0,48,48,7,17,24,11.0,54,True
2001-02,2001,2002,31,3,4,9,7,16,15,0,26,26,3,7,16,13.0,29,True
2000-01,2000,2001,31,13,5,5,18,23,8,0,54,54,13,18,23,21.0,70,True
1999-00,1999,2000,31,4,7,10,11,21,10,0,36,36,4,11,21,14.0,41,True
